painting_id,image_name,image_path,status,reason,best_positive_prompt,best_positive_score,best_negative_prompt,best_negative_score,margin,window_visible,window_position,light_direction,composition_type,outside_visibility,notes
127227,127227.jpg,D:\00\raw_paintings\127227.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.16358688473701477,an abstract painting,0.434221088886261,-0.2706342041492462,,,,,,
128,128.jpg,D:\00\raw_paintings\128.jpg,selected_final,fits_interior_window_theme,a painting of a person inside looking out through a window,0.44134262204170227,a portrait painting with no relation to a window,0.009428822435438633,0.43191379960626364,,,,,,
128837,128837.jpg,D:\00\raw_paintings\128837.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.24215896427631378,a painting of only outdoor scenery,0.2569698393344879,-0.014810875058174133,,,,,,
129,129.jpg,D:\00\raw_paintings\129.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.0756596103310585,a portrait painting with no relation to a window,0.8705267310142517,-0.7948671206831932,,,,,,
130,130.jpg,D:\00\raw_paintings\130.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.16854143142700195,a portrait painting with no relation to a window,0.8040616512298584,-0.6355202198028564,,,,,,
130046,130046.jpg,D:\00\raw_paintings\130046.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.19139058887958527,a painting without a window,0.2810111343860626,-0.08962054550647736,,,,,,
130369,130369.jpg,D:\00\raw_paintings\130369.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.3963366448879242,a painting of only outdoor scenery,0.015734713524580002,0.3806019313633442,,,,,,
130980,130980.jpg,D:\00\raw_paintings\130980.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.4648449718952179,a painting without a window,0.24151745438575745,0.22332751750946045,,,,,,
131,131.jpg,D:\00\raw_paintings\131.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a quiet room with a window,0.006951001938432455,a painting of an outdoor landscape,0.6402323842048645,-0.633281382266432,,,,,,
131996,131996.jpg,D:\00\raw_paintings\131996.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.0003218090278096497,a painting of an outdoor landscape,0.5083181262016296,-0.50799631717382,,,,,,
